@Battle
56/14-22;99/86,Battle
271/16,Last Stand
@Mannequin
143/39,Mannequin
154/24-25,Mannequin
@Others
69/123-124,mot_
71/45-62;85-94,mot_
71/105,def_
72/75;85;95;105;115;117-126,mot_
73/7,mot_
86/22,dumm
100/17,mot_
147/32-35;86-90,dmt_
155/104-106,mot_
163/86-89,mot_
166/109,mot_
168/109-112,mot_
170/73,mot_
175/62-64;75-78,mot_
185/11-14,mot_
186/52-55;73,mot_
187/35-39,mot_
188/27-28;43;90-91;107-108,mot_
196/33,mot_
202/30-31,mot_
212/95-104,mot_
215/48-51,mot_
221/65-74;89-94,mot_
2/0/91,mot_
2/20/36,mot_
3/8/68,mot_
3/9/113-118,mot_
5/9/1;19,mot_
6/0/69,mot_
7/0/61,btl_
@NPC WS
199/109,Bloody Quarrel
204/39,Leonine Legflail
204/40,Soulfetter Arrow
204/38,Unknown WS
217/16,Unknown WS
7/0/62,Wasp Sting
7/0/63,Dancing Edge
7/0/64,King Cobra Clamp
@Dancer
194/50,Drain Samba
194/51,Drain Samba II
194/52,Drain Samba III
194/53,Aspir Samba
194/54,Aspir Samba II
194/55,Haste Samba
194/56,Curing Waltz
194/57,Curing Waltz II
194/58,Curing Waltz III
194/59,Curing Waltz IV
261/127,Curing Waltz V
194/60,Healing Waltz
194/61,Divine Waltz
246/120,Divine Waltz II
194/62,Spectral Jig
194/63,Chocobo Jig
194/64-72,Steps
194/73-81,Flourishes
268/42,New samba?
@Unknown
299/21-25, Wards?
299/26-35, Runefencer animation type 1
299/36-45, Runefencer animation type 2
299/46-55, Runefencer animation type 3
