@Battle
46/57-62;99/20-21,Battle
243/17,Blade: Yu
257/8,Blade: Hi
271/3,Blade: Shun
@G. Sword
82/84,Hard Slash
82/85,Power Slash
82/86,Frostbite
82/87,Freezebite
82/88,Shockwave
82/89,Crescent Moon
82/90,Sickle Moon
103/119,Spinning Slash
103/120,Ground Strike
140/102,Scourge
243/16,Herculean Slash
255/94,Torcleaver
270/25,Resolution
@Staff
82/98,Heavy Swing
82/99,Rock Crusher
82/100,Earth Crusher
82/101,Starburst
82/102,Sunburst
82/103,Shell Crusher
82/104,Full Swing
103/123,Spirit Taker
103/124,Retribution
140/104,Gate of Tartarus
208/70,Vidohunir
208/71,Garland of Bliss
208/72,Omniscience
240/22,Tartarus Torpor
244/107,Cataclysm
257/113,Myrkr
270/26,Shattersoul
@G. Axe
82/77,Shield Break
82/78,Iron Tempest
82/79,Sturmwind
82/80,Armor Break
82/81,Keen Edge
82/82,Weapon Break
82/83,Raging Rush
103/117,Full Break
103/118,Steel Cyclone
140/101,Metatron Torment
208/68,King's Justice
243/15,Fell Cleave
257/112,Ukko's Fury
272/51,Upheaval
@G. Katana
104/6,Tachi: Enpi
104/7,Tachi: Hobaku
104/8,Tachi: Goten
104/9,Tachi: Kagero
104/10,Tachi: Jinpu
104/11,Tachi: Koki
104/12,Tachi: Yukikaze
104/13,Tachi: Gekko
104/14,Tachi: Kasha
140/106,Tachi: Kaiten
208/74,Tachi: Rana
244/105,Tachi: Ageha
255/95,Tachi: Fudo
268/106,Tachi: Shoha
@Scythe
82/62,Slice
82/63,Dark Harvest
82/64,Shadow of Death
82/65,Nightmare Scythe
82/66,Spinning Scythe
82/67,Vorpal Scythe
82/68,Guillotine
103/113,Cross Reaper
103/114,Spiral Hell
140/99,Catastrophe
208/67,Insurgency
243/13,Infernal Scythe
257/6,Quietus
268/104,Entropy
@Polearm
82/91,Double Thrust
82/92,Thunder Thrust
82/93,Raiden Thrust
82/94,Leg Sweep
82/95,Penta Thrust
82/96,Vorpal Thrust
82/97,Skewer
103/121,Wheeling Thrust
103/122,Impulse Drive
140/103,Geirskogul
208/69,Drakesbane
244/104,Sonic Thrust
257/7,Camlann's Torment
268/105,Stardiver
@Archery
82/110,Eagle Eye Shot
82/112,Shadowbind
76/113,Flaming Arrow
76/114,Piercing Arrow
76/115,Dulling Arrow
76/116,Unknown WS
76/117,Sidewinder
104/30,Blast Arrow
104/31,Arching Arrow
104/32,Empyreal Arrow
140/107,Namas Arrow
245/37,Refulgent Arrow
257/9,Jishnu's Radiance
269/112,Apex Arrow
@Marksmanship
82/111,Eagle Eye Shot
82/113,Shadowbind
76/118,Hot Shot
76/119,Split Shot
76/120,Sniper Shot
76/121,Unknown WS
76/122,Slug Shot
104/33,Blast Shot
104/34,Heavy Shot
104/35,Detonator
140/108,Coronach
208/75,Trueflight
208/76,Leaden Salute
243/18,Numbing Shot
257/10,Wildfire
271/4,Last Stand
@Mannequin
143/24,Mannequin
153/124-125,Mannequin
@Others
69/88-90,mot_
71/5-10,mot_
71/102,def_
72/97-100;106,mot_
82/30,dumm
128/9,mot_
151/108-111,mot_
156/76,mot_
189/73,mot_
196/41-42,mot_
202/6-7,mot_
213/13-22,mot_
3/4/54-58,mot_
3/8/93-97,mot_
@NPC WS
202/39,Prominence
204/32,Arrow of Apathy
204/33,Unknown WS
@Dancer
193/26,Drain Samba
193/27,Drain Samba II
193/28,Drain Samba III
193/29,Aspir Samba
193/30,Aspir Samba II
193/31,Haste Samba
193/32,Curing Waltz
193/33,Curing Waltz II
193/34,Curing Waltz III
193/35,Curing Waltz IV
261/125,Curing Waltz V
193/36,Healing Waltz
193/37,Divine Waltz
246/118,Divine Waltz II
193/38,Spectral Jig
193/39,Chocobo Jig
139/40-48,Steps
139/49-57,Flourishes
268/40,New samba?
@unknown
297/85-89, Wards?
297/90-98, Runefencer animation type 1
297/99-109, Runefencer animation type 2
297/110-116, Runefencer animation type 3
