0/0,syst
14/88,Doomed (Stinking Gas)
14/89,Doomed (Undead Mold)
14/90,Doomed (Call of the Grave)
14/91,Doomed (Abyss Blast)
14/92,Fomor (Netherspikes)
14/93,Fomor (Carnal Nightmare)
14/94,Fomor (Aegis Schism)
14/95,Fomor (Dancing Chains)
14/96,Fomor (Barbed Crescent)
14/97,Bomb (Self-Destruct)
14/98,Bomb (Berserk)
14/99,Evil Weapon (Smite of Rage)
14/100,Magic Pot (Double Ray)
14/101,Magic Pot (Spinning Attack)
14/102,Magic Pot (Spectral Barrier)
14/103,Magic Pot (Mysterious Light)
14/104,Magic Pot (Mind Drain)
14/105,Magic Pot (Battery Charge)
14/106,Doll (Kartstrahl)
14/107,Doll (Panzerschreck)
14/108,Doll (Panzerfaust)
14/109,Doll (Berserk)
14/110,Doll (Blitzstrahl)
14/111,Doll (Typhoon)
14/112,Doll (Gravity Field)
14/113,gol_
14/114,Doll (Meltdown)
14/115,Ahriman (Blindeye)
14/116,Ahriman (Eyes On Me)
14/117,Ahriman (Hypnosis)
14/118,Ahriman (Mind Break)
14/119,Ahriman (Binding Wave)
14/120,Ahriman (Airy Shield)
14/121,ah_c
14/122,Ahriman (Magic Barrier)
14/123,Ahriman (Level 5 Petrify)
14/124,Demon (Soul Drain)
14/125,Demon (Hecatomb Wave)
14/126,dem_
14/127,Demon (Demonic Howl)
15/0,dem_
15/1,dm_b
15/2,Goobbue (Blow)
15/3,Goobbue (Beatdown)
15/4,Goobbue (Uppercut)
15/5,gg_1
15/6,Goobbue (Blank Gaze)
15/7,Goobbue (Antiphase)
15/8,Goblin (Goblin Rush)
15/9,Goblin (Bomb Toss)
15/10,Goblin (Bomb Toss drop)
15/11,Orc (Aerial Wheel)
15/12,Orc (Shoulder Attack)
15/13,Orc (Jump)
15/14,Orc (Arm Block)
15/15,Orc (Battle Dance)
15/16,Orc (Howl)
15/17,Quadav (Ore Toss)
15/18,Quadav (Head Butt)
15/19,Quadav (Shell Bash)
15/20,Quadav (Shell Guard)
15/21,km_d
15/22,Yagudo (Feather Storm)
15/23,Yagudo (Double Kick)
15/24,Yagudo (Parry)
15/25,Yagudo (Sweep)
15/26,Bird (Helldive)
15/27,Bird (Wing Cutter)
15/28,Behemoth (Wild Horn)
15/29,Behemoth (Thunderbolt)
15/30,Behemoth (Kick Out)
15/31,Behemoth (Shockwave)
15/32,Behemoth (Flame Armor)
15/33,Behemoth (Howl)
15/34,Behemoth (Meteor)
15/35,Warmachine (Burst)
15/36,Warmachine (Fire Arrow)
15/37,Warmachine (Firebomb)
15/38,Warmachine (Blastbomb)
15/39,Warmachine (Fountain)
15/40,Dragon (Flame Breath)
15/41,Dragon (Poison Breath)
15/42,Dragon (Wind Breath)
15/43,Dragon (Body Slam)
15/44,Dragon (Heavy Stomp)
15/45,Dragon (Chaos Blade)
15/46,Dragon (Petro Eyes)
15/47,Dragon (Voidsong)
15/48,Dragon (Thornsong)
15/49,Dragon (Lodesong)
15/50,Coeurl (Blaster)
15/51,Coeurl (Chaotic Eye)
15/52,Gigas (Catapult)
15/53,Fly (Cursed Sphere)
15/54,Fly (Venom)
15/55,Gigas (Lightning Roar)
15/56,Gigas (Ice Roar)
15/57,Gigas (Impact Roar)
15/58,Gigas (Grand Slam)
15/59,Gigas (Power Attack)
15/60,gig_
15/61,yam_
15/62,yam_
15/63,yam_
15/64,yam_
15/65,yam_
15/66,yam_
15/67,Golem (Crystal Shield)
15/68,Golem (Heavy Strike)
15/69,Golem (Ice Break)
15/70,Golem (Thunder Break)
15/71,Golem (Crystal Rain)
15/72,Golem (Crystal Weapon) [fire]
15/73,Golem (Crystal Weapon) [earth]
15/74,Golem (Crystal Weapon) [water]
15/75,Golem (Crystal Weapon) [wind]
15/76,Cardian (Bludgeon)
15/77,Cardian (Deal Out)
15/78,Sapling (Sprout Spin)
15/79,Sapling (Slumber Powder)
15/80,Sapling (Sprout Smack)
15/81,2-hour effect (fire)
15/82,2-hour effect (ice)
15/83,2-hour effect (wind)
15/84,2-hour effect (earth)
15/85,2-hour effect (water)
15/86,2-hour effect (light)
15/87,2-hour effect (lightning)
15/88,2-hour effect (dark)
16/2,Barrage (arrow) [0 hits]
16/3,Barrage (arrow) [1 hit]
16/4,Barrage (arrow) [2 hits]
16/5,Barrage (arrow) [3 hits]
16/6,Barrage (arrow) [4 hits]
16/7,Barrage (arrow) [5 hits]
16/8,Barrage (arrow) [6 hits]
16/9,Barrage (arrow) [7 hits]
16/10,Barrage (arrow) [8 hits]
16/11,Barrage (arrow) [9 hits]
16/12,Barrage (arrow) [10 hits]
16/13,Barrage (arrow) [11 hits]
16/14,Barrage (arrow) [12 hits]
16/15,Barrage (bolt) [0 hits]
16/16,Barrage (bolt) [1 hit]
16/17,Barrage (bolt) [2 hits]
16/18,Barrage (bolt) [3 hits]
16/19,Barrage (bolt) [4 hits]
16/20,Barrage (bolt) [5 hits]
16/21,Barrage (bolt) [6 hits]
16/22,Barrage (bolt) [7 hits]
16/23,Barrage (bolt) [8 hits]
16/24,Barrage (bolt) [9 hits]
16/25,Barrage (bolt) [10 hits]
16/26,Barrage (bolt) [11 hits]
16/27,Barrage (bolt) [12 hits]
16/28,Barrage (bullet) [0 hits]
16/29,Barrage (bullet) [1 hit]
16/30,Barrage (bullet) [2 hits]
16/31,Barrage (bullet) [3 hits]
16/32,Barrage (bullet) [4 hits]
16/33,Barrage (bullet) [5 hits]
16/34,Barrage (bullet) [6 hits]
16/35,Barrage (bullet) [7 hits]
16/36,Barrage (bullet) [8 hits]
16/37,Barrage (bullet) [9 hits]
16/38,Barrage (bullet) [10 hits]
16/39,Barrage (bullet) [11 hits]
16/40,Barrage (bullet) [12 hits]
16/75,Burning Circle warp in
16/76,Burning Circle warp out
16/77,kira
16/78,isi1
16/79,isi2
16/80,isi3
16/81,mbar
16/82,onio
16/83,gofu
16/84,daig
16/85,gate
16/86,uran
16/87,kaka
16/88,arim
16/89,mahi
16/90,kika
16/91,mogu
16/92,sdra
16/93,zaid
16/94,mao1
16/95,mao3
16/96,kone
16/97,mao2
16/98,yam_
16/99,yam_
16/100,Job Change
16/101-115,Bastok Rank
16/116-17/2,Windurst Rank
17/3-17,San d'Oria Rank
62/84,evte
62/92,evte
62/113,ship
62/114,ship
62/115,ship
62/116,ship
62/117,ship
62/119,ship
62/120,ship
62/121,ship
62/122,ship
62/123,ship
62/124,ship
62/125,ship
62/126,ship
62/127,ship
74/107,m_ob
74/109,m_ob
75/8,m_ob
75/9,m_ob
75/10,m_ob
75/11,m_ob
75/12,m_ob
75/47,m_fg
75/57,m_fg
75/62,m_fg
92/107,Signet
92/124,hota
92/125,gohu
92/126,hitb
95/81,Evil Weapon (Whirl of Rage)
95/83,hota
95/84,ya01
95/85,yao2
95/86,ya03
97/16,mim_
97/113,Call Beast (summon)
97/114,Call Beast (leave)
97/115,suzu
97/116,suzu
97/117,suzu
97/118,suzu
97/119,suzu
97/120,suzu
97/121,drk_
97/122,drk_
97/123,drk_
97/124,drk_
97/125,drk_
97/126,drk_
97/127,Wyvern (Blizzard Breath)
98/0,Wyvern (Thunder Breath)
98/1,Wyvern (Radiant Breath)
98/2,Wyvern (Chaos Breath)
98/11,Carbuncle's Ruby
98/12,Carbuncle's Ruby (orange)
98/13,Carbuncle's Ruby (red)
98/14,Carbuncle's Ruby (blue)
98/15,Carbuncle's Ruby (indigo)
98/16,Carbuncle's Ruby (violet)
98/17,Carbuncle's Ruby (yellow)
98/18,Carbuncle's Ruby (green)
98/19,Carbuncle's Ruby (broken)
98/20,wp03
98/21,sibi
98/22,k_wa
98/23,azid
98/24,apur
98/25,moya
98/26,siru
118/90,Pet Wyvern (Healing Breath I)
118/91,Pet Wyvern (Healing Breath II)
118/92,Pet Wyvern (Healing Breath III)
118/93,Pet Wyvern (Remove Poison)
118/94,Pet Wyvern (Remove Blind)
118/95,Pet Wyvern (Remove Paralysis)
118/96,Pet Wyvern (Flame Breath)
118/97,Pet Wyvern (Frost Breath)
118/98,Pet Wyvern (Gust Breath)
118/99,Pet Wyvern (Sand Breath)
118/100,Pet Wyvern (Lightning Breath)
118/101,Pet Wyvern (Hydro Breath)
118/118,petm
119/86,Spider (Sickle Slash)
119/87,Spider (Acid Spray)
119/88,Spider (Spider Web)
122/87,Ark Angel HM (Cross Reaver)
122/88,Ark Angel MR (Havok Spiral)
122/89,Ark Angel EV (Dominion Slash)
122/90,Ark Angel TT (Amon Drive)
122/91,Ark Angel GK (Dragonfall)
122/92,Ark Angel EV (Shield Bash)
122/93,Ark Angel TT (warp in)
122/94,Ark Angel HM (Circle Blade)
122/95,Ark Angel HM (Swift Blade)
122/96,Ark Angel EV (Spirits Within)
122/97,Ark Angel EV (Vorpal Blade)
122/98,Ark Angel MR (Rampage)
122/99,Ark Angel MR (Calamity)
122/100,Ark Angel TT (Spinning Scythe)
122/101,Ark Angel TT (Guillotine)
122/102,Ark Angel GK (Tachi: Yukikaze)
122/103,Ark Angel GK (Tachi: Gekko)
122/104,Ark Angel GK (Tachi: Kasha)
122/105,rdr_
122/106,rdr_
122/107,rdr_
122/108,rdr_
122/109,rdr_
122/110,rdr_
122/111,rdr_
122/112,rdr_
122/113,rdr_
122/114,rdr_
122/115,kmo2
122/116,kmo2
122/117,cgr_
122/118,cel_
122/119,chu_
122/120,ctr_
122/121,cmi_
122/122,Ark Angel GK (dead)
122/123,Ark Angel EV (dead)
122/124,Ark Angel HM (dead)
122/125,Ark Angel TT (dead)
122/126,Ark Angel MR (dead)
122/127,hum_
123/0,garp
123/2,hen_
123/3,mj_t
123/4,mj_t
123/5,baku
123/6,Ark Angel TT (warp out)
123/113,el1_
123/114,el1_
123/115,eld1
123/116,el1_
125/71,el1_
128/12,try_
128/13,try_
128/14,zai_
128/15,zai_
128/16,for_
128/17,Ajido-Marujido (warp in)
128/18,Ajido-Marujido (warp out)
128/19,Trion (Red Lotus Blade)
128/20,Trion (Flat Blade)
128/21,Trion (Savage Blade)
128/22,Volker (Red Lotus Blade)
128/23,Volker (Spirits Within)
128/24,Volker (Vorpal Blade)
128/25,Zeid (Power Slash)
128/26,Zeid (Freezebite)
128/27,Zeid (Ground Strike)
128/28,bit_
128/29,eld_
128/30,eld_
128/31,zeid
128/32,Eald'narche (warp in)
128/33,Eald'narche (warp out)
128/34,eld_
128/35,eld_
128/36,eld_
128/37,eld_
128/38,eld_
128/39,eld_
128/40,eld_
128/41,eld_
128/42,eld_
128/43,eld_
128/44,eld_
128/45,eld_
128/50,eld_
128/51,zai_
128/52,ork_
128/53,kafu
128/54,sw_p
128/55,ran_
128/56,ran_
128/57,hit_
128/58,miko
128/59,btal
128/60,kaka
128/61,miko
128/62,miko
128/63,aji_
128/64,shld
128/65,kaka
128/66,mj_t
128/67,obak
128/68,apu_
128/69,mj_t
128/70,mj_t
128/71,bay_
128/72,fenn
128/73,fenn
128/74,ap_n
128/75,ap_h
128/76,eld_
128/77,obak
130/64,m_ma
130/65,m_hy
130/66,m_ka
130/67,m_mp
130/68,m_re
130/69,m_to
130/70,m_ki
130/71,m_bl
130/72,m_ma
130/73,m_pe
130/74,m_si
130/75,m_sn
130/76,m_me
130/77,m_mi
130/78,m_pe
130/79,m_ze
130/80,xt_w
130/81,xt_w
130/82,xt_f
130/83,m_co
130/84,m_ta
130/85,m_ta
130/86,m_ba
130/87,m_sp
130/88,m_ku
130/89,m_so
130/90,m_as
130/91,cry_
130/92,m_ba
130/93,ryus
130/94,f_ip
131/9,sb_m
135/103,ork_
135/104,yag_
135/105,km_h
135/106,gob_
135/107,gob_
135/108,gob_
135/109,gob_
135/110,gob_
135/111,gob_
135/112,gob_
135/113,gob_
135/114,gob_
135/115,gob_
135/116,gob_
135/117,gob_
135/118,gob_
135/119,gob_
135/120,gob_
135/121,gob_
135/122,gob_
135/123,gob_
135/124,sork
135/125,sto_
135/126,syag
135/127,sty_
136/0,sgob
136/1,stg_
136/2,skam
136/3,stkl
136/4,stks
136/5,yag_
136/6,km_e
136/7,sk_h
136/8,sk_m
136/53,"Laissez aler!"
136/54,"Victoire!"
136/55,"Echec..."
136/56,evy_
136/57,evg_
136/58,evk_
136/59,dm_j
136/60,dm_4
136/61,dm_4
136/62,dem_
136/63,ym2_
136/64,ym2_
136/65,ym2_
136/66,ym2_
136/67,ym2_
136/68,ym2_
136/69,ym2_
136/70,ym2_
136/71,ym2_
136/72,bm_k
136/73,bm_m
136/74,bt3_
136/75,bt3_
136/76,val_
136/77,val_
136/78,val_
136/80,rkef
139/65,evte
142/63,dra_
142/64,ah_w
142/65,ah_w
142/71,evy_
142/72,eg1i
142/73,eg2i
142/74,eg2i
142/75,eg3i
142/76,eg3i
142/77,eg3i
142/78,evg_
142/79,ev2_
142/80,ev2_
142/81,ev2_
142/82,ev2_
142/83,ev2_
142/84,ev2_
142/85,ev2_
142/86,ev2_
142/87,ev2_
142/88,ev2_
142/89,ev2_
142/90,ev2_
142/91,ev2_
142/92,ev2_
142/103,ninj
142/104,hm_s
142/105,hm_t
142/106,fs_a
142/107,bom_
142/108,bom_
142/109,evw_
142/110,evw_
142/111,evw_
142/112,qua_
142/113,qua_
142/114,qua_
142/115,qua_
142/116,gur_
142/117,gur_
142/118,kyo 
142/119,mat_
142/120,mat_
142/121,mat_
142/122,mat_
142/123,mat_
142/124,mnt_
142/125,mnt_
142/126,ada_
142/127,adm_
143/0,adm_
143/1,adm_
143/2,adm_
143/3,adm_
145/71,evte
146/112,idr_
146/113,idr_
146/114,idr_
146/115,tdr_
146/116,tdr_
146/117,tdr_
146/118,ydr_
146/119,ylz_
146/120,Tonberry (Curse)
146/121,Tonberry (Sigh)
146/122,Tonberry (Light of Penance)
146/123,Tonberry (Lateral Slash)
146/124,Tonberry (Vertical Slash)
146/125,Tonberry (Throat Stab)
146/126,Tonberry (Everyone's Grudge)
146/127,Tonberry (Everyone's Rancor)
147/3,Rabbit (Snow Cloud)
147/116,bit_
147/117,bit_
147/120,CoP Title (Japanese)
147/121,CoP Title (English)
148/66,fs_j
148/67,rdr_
148/79,sr_n
148/80,sr_n
148/81,sr_n
148/82,hm_f
148/83,cr_b
148/84,mm_k
148/85,mm_g
148/86,mm_g
148/87,mm_g
148/88,tig_
148/89,be_r
148/90,ga_o
148/91,ko_s
148/101,ric_
148/102,ah_e
149/94,ric_
149/95,kra_
149/102,bt3_
149/103,bt3_
151/31,si_a
151/32,si_j
151/33,si_t
151/34,si_s
151/35,si_n
151/36,si_n
151/72,c_at
151/73,hika
151/74,hk_a
151/75,fc_r
151/76,fc_a
151/77,fc_s
151/78,fc_a
151/79,fc_j
151/80,fc_s
151/81,am_e
151/82,am_e
151/83,am_e
151/86,am_b
151/118,st_t
151/119,st_h
151/120,st_k
151/121,st_j
151/122,st_h
151/123,st_t
151/124,st_e
151/125,st_r
152/22,st_t
152/23,st_5
152/24,st_b
152/25,st_y
152/26,sc_d
152/27,sc_p
152/28,sc_s
152/29,sc_e
152/30,sc_g
152/31,sc_s
152/32,sc_c
152/33,sc_a
152/34,she_
152/35,she_
152/37,ten_
152/38,ten_
152/39,ten_
152/41,ten_
152/42,ws01
152/43,ws05
152/44,ws07
152/45,ws08
152/46,ws09
152/47,yoit
152/58,she_
152/59,she_
152/60,she_
152/83,gob_
152/84,gob_
152/85,gob_
152/86,gob_
152/87,gob_
152/88,gob_
152/89,gob_
152/90,gob_
152/91,gob_
152/92,gob_
152/93,st_j
152/94,sel_
152/95,sel_
152/96,kekk
152/97,u_uz
152/127,mou_
153/0,mou_
153/1,mou_
153/2,tok_
153/3,tok_
153/4,tok_
153/5,tok_
153/6,tok_
153/7,gm_y
153/44,gob_
154/41,dk_h
154/42,dk_s
155/19,sel_
155/20,sel_
155/21,kekk
155/22,u_uz
155/23,gm_y
155/24,gob_
155/25,pro_
155/26,pro_
155/27,b_ta
155/28,ev_b
155/29,ev_b
155/30,pro_
155/36,pro_
155/37,pro_
155/38,pro_
155/39,pro_
155/40,pro_
155/41,so_h
155/42,so_b
155/43,so_d
155/44,so_s
155/45,so_f
155/46,so_j
155/47,shn_
155/48,shn_
155/49,shn_
155/50,dc_c
155/51,dc_k
155/52,dc_t
155/53,dc_m
155/54,to_i
155/55,to_c
155/56,to_i
155/57,to_e
155/58,to_d
155/59,to_k
155/60,to_k
155/89,roef
155/90,roef
155/91,roef
155/92,roef
155/93,roef
155/94,roef
155/95,roef
155/123,al_w
155/124,al_d
155/125,al_d
155/126,al_k
155/127,omg_
156/0,omg_
156/1,omg_
156/2,omg_
156/3,omg_
156/4,omg_
156/5,pro_
156/6,aj_a
156/7,aj_b
156/8,aj_d
156/9,aj_p
156/10,aj_s
156/11,km2_
156/12,km2_
156/13,km2_
156/14,km2_
156/26,Prishe (Hundred Fists)
156/27,Prishe (Benediction)
156/30,pri_
156/31,pri_
156/47,sel_
156/48,sel_
156/49,sel_
156/71,pro_
156/72,pro_
156/73,pro_
156/79,pig_
156/80,pig_
156/81,pig_
156/82,pig_
156/83,pig_
156/94,pro_
156/95,pro_
156/96,pro_
156/97,pro_
156/98,pro_
156/99,pro_
156/100,pro_
156/101,pro_
156/102,pro_
156/111,p_uz
156/112,pri_
156/113,pri_
156/114,nami
156/115,e_me
156/116,ep_m
156/117,pri_
156/118,pri_
156/119,pri_
156/122,sel_
156/123,sel_
156/124,pro_
156/125,sel_
156/126,pri_
156/127,pro_
157/0,yari
157/1,pc_o
157/2,pro_
157/8,pr_n
157/9,pr_n
157/10,pr_n
157/11,pr_n
157/12,pro_
157/13,pro_
157/14,pro_
157/15,pro_
157/16,sel_
157/17,pl_n
157/18,pri_
157/55,rdr_
157/62,kmo_
157/122,utg_
157/124,1sh_
157/125,msh_
157/126,ssh_
157/127,1sh_
158/0,msh_
158/1,ssh_
158/2,1sh_
158/3,msh_
158/4,ssh_
158/5,1sh_
158/6,1sh_
158/7,msh_
158/8,ssh_
158/73,omg_
158/74,omg_
158/75,omg_
158/76,omg_
158/77,omg_
158/78,omg_
158/79,omg_
158/80,omg_
159/33,ant_
159/34,ant_
159/35,ant_
159/36,ant_
159/37,ant_
159/38,ant_
159/39,ant_
159/40,ant_
159/42,bfn_
159/43,bfn_
159/44,bfn_
159/45,bfn_
159/46,bfe_
159/47,bfn_
159/48,bfn_
159/49,bfn_
159/50,bfn_
159/53,mdi_
159/54,mdi_
159/55,mdi_
159/56,mdi_
159/57,mdi_
159/58,hol_
159/59,hol_
159/73,izu_
159/74,mirr
159/75,hens
159/76,dm_k
159/77,hol_
159/78,hol_
159/79,mi_p
159/80,mi_p
159/106,gig_
159/107,mbh_
159/108,mbh_
159/109,mbh_
159/110,mbh_
159/111,mbh_
159/112,mbh_
159/114,shd_
159/115,bh_s
159/116,mbh_
159/117,mbh_
159/118,mbh_
159/119,mbh_
159/120,mbh_
159/121,mbh_
159/122,mbh_
159/123,yami
159/124,oba_
159/125,oba_
159/126,oba_
159/127,kmr_
160/0,eld_
160/1,sel_
160/2,lion
160/7,turi
160/8,turi
160/9,turi
160/10,turi
160/16,ryuu
160/17,ryuu
160/18,lion
160/39,st_b
160/44,m_ty
160/45,m_ty
160/46,m_ay
160/47,pvp1
160/52,ryuu
160/53,lion
160/54,m_ut
160/127,"Lasset beginnen!"
161/0,"Sieg!"
161/1,"Niederlage..."
161/4,bm3_
161/5,bm3_
161/6,bm3_
161/7,bm3_
161/8,bm3_
161/9,bm3_
161/10,bm3_
161/11,bm3_
161/12,bm3_
161/13,kise
161/16,car_
161/17,car_
161/18,yam_
161/35,aj_s
161/36,dno_
161/37,fs_b
161/38,fs_s
161/39,pr_s
161/40,m_ha
161/41,mdi_
161/42,mdi_
162/33,bpu_
162/34,bpu_
162/35,bpu_
162/36,bpu_
162/37,bpu_
162/38,bpu_
162/39,bpu_
164/63,at_b
164/64,at_g
164/65,at_b
164/66,at_k
164/67,at_p
164/68,at_b
164/69,at_b
164/70,mabu
164/71,at_m
164/72,at_i
164/73,at_k
164/74,at_m
164/75,at_l
164/76,sibu
164/77,pil_
164/78,pil_
164/79,pil_
164/80,pil_
164/81,pil_
164/82,pil_
165/38,cor_
165/39,imp_
165/40,imp_
165/41,la_n
165/42,fwy_
165/43,fwy_
165/44,ko_h
165/45,tro_
165/46,tro_
165/47,me_n
165/48,la_p
165/49,me_p
165/50,la_e
165/51,me_e
165/52,tro_
165/104,yag_
165/105,yag_
165/106,yag_
165/107,yag_
166/95,dno_
166/96,dno_
166/97,dno_
166/98,dno_
166/99,dno_
166/100,dno_
166/101,hyd_
166/102,hyd_
166/103,hyd_
166/104,hyd_
166/105,hyd_
166/106,lzm_
166/110,hyd_
166/111,elf_
166/118,bsh_
167/123,nomi
168/14,ck_f
168/15,ck_f
168/16,ck_f
168/17,ck_f
168/18,dra_
168/19,it_h
168/20,e_in
168/74,evte
168/83,evte
168/84,evte
168/86,ang_
168/87,alx_
168/88,ao_t
168/89,ax_v
168/90,ob_d
168/91,Sleeping
168/113,hyd_
168/114,hyd_
169/2,lizk
169/3,lizk
169/4,lizk
169/5,lizk
169/6,lizk
169/38,ma_g
169/39,bl_f
169/40,sh_w
169/41,nioi
169/47,mid_
169/48,mid_
169/49,mid_
169/50,mid_
169/51,mid_
169/52,mid_
169/53,mid_
169/57,med_
169/58,med_
169/59,med_
169/60,med_
169/61,med_
169/62,med_
169/65,pri_
169/66,pri_
169/67,mos_
169/68,mos_
169/69,mos_
169/70,mos_
169/71,mos_
169/72,mos_
169/73,mos_
169/77,genk
169/84,oba_
169/86,fune
169/87,s_si
169/88,bk_h
169/89,sibu
169/90,ob_d
169/97,trok
169/98,trok
169/99,trok
169/100,trok
169/101,trok
169/102,trok
169/105,ao_h
169/106,mid_
170/15,toad
170/16,toad
170/17,toad
170/18,toad
170/19,toad
170/20,toad
170/21,den 
170/22,cho_
170/23,cho_
170/26,atm_
170/60,sasa
170/61,sasa
170/62,sasa
