0/0,----Hume M Head----
1/95/102,102
1/95/103,103
1/95/104,104
1/95/105,105
1/95/106,106
1/98/39,39
1/98/40,40
1/98/41,41
1/98/42,42
0/0,----Hume M Feet----
1/28/116,116
1/28/117,117
1/28/118,118
1/28/119,119
1/28/120,120
1/28/121,121
1/28/122,122
1/28/123,123
1/28/124,124
1/28/125,125
1/28/126,126
1/28/127,127
1/29/0,0
1/29/1,1
1/29/2,2
1/29/3,3
1/29/4,4
1/29/5,5
1/29/6,6
1/29/7,7
1/29/8,8
1/29/9,9
1/29/10,10
1/29/11,11
1/29/12,12
1/29/13,13
1/29/14,14
1/29/15,15
1/29/16,16
1/29/17,17
1/29/18,18
1/29/19,19
1/93/28,28
1/93/29,29
1/93/30,30
1/93/31,31
1/93/32,32
1/93/33,33
1/95/107,107
1/95/108,108
1/95/109,109
1/95/110,110
1/95/111,111
1/98/43,43
1/98/44,44
1/98/45,45
1/98/46,46
0/0,----Hume M Weapon----
1/29/21,21
1/29/22,22
1/29/23,23
1/29/24,24
1/29/25,25
1/29/26,26
1/29/27,27
1/29/28,28
1/29/29,29
1/29/30,30
1/29/31,31
1/29/32,32
1/29/33,33
1/29/34,34
1/29/36,36
1/29/37,37
1/29/38,38
1/29/39,39
1/29/40,40
1/29/41,41
1/29/42,42
1/29/43,43
1/29/44,44
1/29/45,45
1/29/46,46
1/29/47,47
1/29/48,48
1/29/49,49
1/29/50,50
1/29/51,51
1/29/52,52
1/29/53,53
1/29/54,54
1/29/55,55
1/29/56,56
1/29/57,57
1/29/58,58
1/29/59,59
1/29/60,60
1/29/61,61
1/29/62,62
1/29/63,63
1/29/64,64
1/29/65,65
1/29/66,66
1/29/67,67
1/29/68,68
1/29/69,69
1/29/70,70
1/29/71,71
1/29/72,72
1/29/73,73
1/29/74,74
1/29/75,75
1/29/76,76
1/29/77,77
1/29/78,78
1/29/79,79
1/29/80,80
1/29/81,81
1/29/82,82
1/29/83,83
1/29/84,84
1/29/85,85
1/29/86,86
1/29/87,87
1/29/88,88
1/29/89,89
1/29/90,90
1/29/91,91
1/29/92,92
1/29/93,93
1/29/94,94
1/29/95,95
1/29/96,96
1/29/97,97
1/29/98,98
1/29/99,99
1/29/100,100
1/29/101,101
1/29/102,102
1/29/103,103
1/29/104,104
1/29/105,105
1/29/106,106
1/29/107,107
1/29/108,108
1/29/109,109
1/29/110,110
1/29/111,111
1/29/112,112
1/29/113,113
1/29/114,114
1/29/115,115
1/29/116,116
1/29/117,117
1/29/118,118
1/29/119,119
1/29/120,120
1/29/121,121
1/29/122,122
1/29/123,123
1/29/124,124
1/29/125,125
1/29/126,126
1/29/127,127
1/30/0,0
1/30/1,1
1/30/2,2
1/30/3,3
1/30/4,4
1/30/5,5
1/30/6,6
1/30/7,7
1/30/8,8
1/30/9,9
1/30/10,10
1/30/11,11
1/30/12,12
1/30/13,13
1/30/14,14
1/30/15,15
1/30/16,16
1/30/17,17
1/30/18,18
1/30/19,19
1/30/20,20
1/30/21,21
1/30/22,22
1/30/23,23
1/30/24,24
1/30/25,25
1/30/26,26
1/30/27,27
1/30/28,28
1/30/29,29
1/30/30,30
1/30/31,31
1/30/32,32
1/30/33,33
1/30/34,34
1/30/35,35
1/30/36,36
1/30/37,37
1/30/38,38
1/30/39,39
1/30/40,40
1/30/41,41
1/30/42,42
1/30/43,43
1/30/44,44
1/30/45,45
1/30/46,46
1/30/47,47
1/30/48,48
1/30/49,49
1/30/50,50
1/30/51,51
1/30/52,52
1/30/53,53
1/30/54,54
1/30/55,55
1/30/56,56
1/30/57,57
1/30/58,58
1/30/59,59
1/30/60,60
1/30/61,61
1/30/62,62
1/30/63,63
1/30/64,64
1/30/65,65
1/30/66,66
1/30/67,67
1/30/68,68
1/30/69,69
1/30/70,70
1/30/71,71
1/30/72,72
1/30/73,73
1/30/74,74
1/30/75,75
1/30/76,76
1/30/77,77
1/30/78,78
1/30/79,79
1/30/80,80
1/30/81,81
1/30/82,82
1/30/83,83
1/30/84,84
1/30/85,85
1/30/86,86
1/30/87,87
1/30/88,88
1/30/89,89
1/30/90,90
1/30/91,91
1/30/92,92
1/30/93,93
1/30/94,94
1/30/95,95
1/30/96,96
1/30/97,97
1/30/98,98
1/30/99,99
1/30/100,100
1/30/101,101
1/30/102,102
1/30/103,103
1/30/104,104
1/30/105,105
1/30/106,106
1/30/107,107
1/30/108,108
1/30/109,109
1/30/110,110
1/30/111,111
1/30/112,112
1/30/113,113
1/30/114,114
1/30/115,115
1/30/116,116
1/30/117,117
1/30/118,118
1/30/119,119
1/30/120,120
1/30/121,121
1/30/122,122
1/30/123,123
1/30/124,124
1/30/125,125
1/30/126,126
1/30/127,127
1/31/0,0
1/31/1,1
1/31/2,2
1/31/3,3
1/31/4,4
1/31/5,5
1/31/6,6
1/31/7,7
1/31/8,8
1/31/9,9
1/31/10,10
1/31/11,11
1/31/12,12
1/31/13,13
1/31/14,14
1/31/15,15
1/31/16,16
1/31/17,17
1/31/18,18
1/31/19,19
1/31/20,20
1/31/21,21
1/31/22,22
1/31/23,23
1/31/24,24
1/31/25,25
1/31/27,27
1/31/28,28
1/31/29,29
1/31/30,30
1/31/31,31
1/31/32,32
1/31/33,33
1/31/34,34
1/31/35,35
1/31/36,36
1/31/37,37
1/31/38,38
1/31/39,39
1/31/40,40
1/31/41,41
1/31/42,42
1/31/43,43
1/31/44,44
1/31/45,45
1/31/46,46
1/31/47,47
1/31/48,48
1/31/49,49
1/31/50,50
1/31/51,51
1/31/52,52
1/31/53,53
1/31/54,54
1/31/55,55
1/31/56,56
1/31/57,57
1/31/58,58
1/31/59,59
1/31/60,60
1/31/61,61
1/31/62,62
1/31/63,63
1/31/64,64
1/31/65,65
1/31/66,66
1/31/67,67
1/31/68,68
1/31/69,69
1/31/70,70
1/31/71,71
1/31/72,72
1/31/73,73
1/31/74,74
1/31/75,75
1/31/76,76
1/31/77,77
1/31/78,78
1/31/79,79
1/31/83,83
1/31/84,84
1/31/85,85
1/31/86,86
1/31/87,87
1/31/88,88
1/31/89,89
1/31/90,90
1/31/91,91
1/31/92,92
1/31/93,93
1/31/94,94
1/31/95,95
1/31/96,96
1/31/97,97
1/31/98,98
1/31/99,99
1/31/100,100
1/31/101,101
1/31/102,102
1/31/103,103
1/31/104,104
1/31/105,105
1/31/106,106
1/31/107,107
1/31/108,108
1/31/109,109
1/31/110,110
1/31/111,111
1/31/112,112
1/31/113,113
1/31/114,114
1/31/115,115
1/31/116,116
1/31/117,117
1/31/118,118
1/31/119,119
1/31/120,120
1/31/121,121
1/31/122,122
1/31/123,123
1/31/124,124
1/31/125,125
1/31/126,126
1/31/127,127
1/32/0,0
1/32/1,1
1/32/2,2
1/32/3,3
1/32/4,4
1/32/5,5
1/32/6,6
1/32/7,7
1/32/8,8
1/32/9,9
1/32/10,10
1/32/11,11
1/32/12,12
1/93/34,34
1/98/47,47
1/98/48,48
1/98/49,49
1/98/50,50
1/98/51,51
1/98/52,52
1/98/53,53
1/98/54,54
0/0,----Hume M Offhand----
1/108/124,124
1/108/125,125
1/108/126,126
1/108/127,127
1/109/0,0
1/109/1,1
1/109/2,2
1/109/3,3
1/109/4,4
1/109/5,5
1/109/6,6
1/109/7,7
1/109/8,8
1/109/9,9
1/109/10,10
1/109/11,11
1/109/12,12
1/109/13,13
1/109/14,14
1/109/15,15
1/109/16,16
1/109/17,17
1/109/18,18
1/109/19,19
1/109/20,20
1/109/21,21
1/109/22,22
1/109/23,23
1/109/24,24
1/109/25,25
1/109/26,26
1/109/27,27
1/109/28,28
1/109/29,29
1/109/30,30
1/109/31,31
1/109/32,32
1/109/33,33
1/109/34,34
1/109/35,35
1/109/36,36
1/109/37,37
1/109/38,38
1/109/39,39
1/109/40,40
1/109/41,41
1/109/42,42
1/109/43,43
1/109/44,44
1/109/45,45
1/109/46,46
1/109/47,47
1/109/48,48
1/109/49,49
1/109/50,50
1/109/51,51
1/109/52,52
1/109/53,53
1/109/54,54
1/109/55,55
1/109/56,56
1/109/57,57
1/109/58,58
1/109/59,59
1/109/60,60
1/109/61,61
1/109/62,62
1/109/63,63
1/109/64,64
1/109/65,65
1/109/66,66
1/109/67,67
1/109/68,68
1/109/69,69
1/109/70,70
1/109/71,71
1/109/72,72
1/109/73,73
1/109/74,74
1/109/75,75
1/109/76,76
1/109/77,77
1/109/78,78
1/109/79,79
1/109/80,80
1/109/81,81
1/109/82,82
1/109/83,83
1/109/84,84
1/109/85,85
1/109/86,86
1/109/87,87
1/109/88,88
1/109/89,89
1/109/90,90
1/109/91,91
1/109/92,92
1/109/93,93
1/109/94,94
1/109/95,95
1/109/96,96
1/109/97,97
1/109/98,98
1/109/99,99
1/109/100,100
1/109/101,101
1/109/102,102
1/109/103,103
1/109/104,104
1/109/105,105
1/109/106,106
1/109/107,107
1/109/108,108
1/109/109,109
1/109/110,110
1/109/111,111
1/109/112,112
1/109/113,113
1/109/114,114
1/109/115,115
1/109/116,116
1/109/117,117
1/109/118,118
1/109/119,119
1/109/120,120
1/109/121,121
1/109/122,122
1/109/123,123
1/109/124,124
1/109/125,125
1/109/126,126
1/109/127,127
1/110/0,0
1/110/1,1
1/110/2,2
1/110/3,3
1/110/4,4
1/110/5,5
1/110/6,6
1/110/7,7
1/110/8,8
1/110/9,9
1/110/10,10
1/110/11,11
1/110/12,12
1/110/13,13
1/110/14,14
1/110/15,15
1/110/16,16
1/110/17,17
1/110/18,18
