0/0,----Elvaan M Head----
1/96/21,21
1/96/22,22
1/96/23,23
1/98/97,97
1/98/98,98
1/98/99,99
1/98/100,100
0/0,----Elvaan M Legs----
1/38/30,30
1/38/31,31
1/38/32,32
1/38/33,33
1/38/34,34
1/38/35,35
1/38/36,36
1/38/37,37
1/38/38,38
1/38/39,39
1/38/40,40
1/38/41,41
1/38/42,42
1/38/43,43
1/38/44,44
1/38/45,45
1/38/46,46
1/38/47,47
1/38/48,48
1/38/49,49
1/38/50,50
1/38/51,51
1/38/52,52
1/38/53,53
1/38/54,54
1/38/55,55
1/38/56,56
1/38/57,57
1/38/58,58
1/38/59,59
1/38/60,60
1/93/94,94
1/93/95,95
1/93/96,96
1/93/97,97
1/93/98,98
1/93/99,99
1/96/24,24
1/96/25,25
1/96/26,26
1/96/27,27
1/96/28,28
1/98/101,101
1/98/102,102
1/98/103,103
1/98/104,104
0/0,----Elvaan M Feet----
1/38/61,61
1/38/62,62
1/38/63,63
1/38/64,64
1/38/65,65
1/38/66,66
1/38/67,67
1/38/68,68
1/38/69,69
1/38/70,70
1/38/71,71
1/38/72,72
1/38/73,73
1/38/74,74
1/38/75,75
1/38/76,76
1/38/77,77
1/38/78,78
1/38/79,79
1/38/80,80
1/38/81,81
1/38/82,82
1/38/83,83
1/38/84,84
1/38/85,85
1/38/86,86
1/38/87,87
1/38/88,88
1/38/89,89
1/38/90,90
1/38/91,91
1/93/100,100
1/93/101,101
1/93/102,102
1/93/103,103
1/93/104,104
1/93/105,105
1/96/29,29
1/96/30,30
1/96/31,31
1/96/32,32
1/96/33,33
1/98/105,105
1/98/106,106
1/98/107,107
1/98/108,108
0/0,----Elvaan M Weapons----
1/38/93,93
1/38/94,94
1/38/95,95
1/38/96,96
1/38/97,97
1/38/98,98
1/38/99,99
1/38/100,100
1/38/101,101
1/38/102,102
1/38/103,103
1/38/104,104
1/38/105,105
1/38/106,106
1/38/108,108
1/38/109,109
1/38/110,110
1/38/111,111
1/38/112,112
1/38/113,113
1/38/114,114
1/38/115,115
1/38/116,116
1/38/117,117
1/38/118,118
1/38/119,119
1/38/120,120
1/38/121,121
1/38/122,122
1/38/123,123
1/38/124,124
1/38/125,125
1/38/126,126
1/38/127,127
1/39/0,0
1/39/1,1
1/39/2,2
1/39/3,3
1/39/4,4
1/39/5,5
1/39/6,6
1/39/7,7
1/39/8,8
1/39/9,9
1/39/10,10
1/39/11,11
1/39/12,12
1/39/13,13
1/39/14,14
1/39/15,15
1/39/16,16
1/39/17,17
1/39/18,18
1/39/19,19
1/39/20,20
1/39/21,21
1/39/22,22
1/39/23,23
1/39/24,24
1/39/25,25
1/39/26,26
1/39/27,27
1/39/28,28
1/39/29,29
1/39/30,30
1/39/31,31
1/39/32,32
1/39/33,33
1/39/34,34
1/39/35,35
1/39/36,36
1/39/37,37
1/39/38,38
1/39/39,39
1/39/40,40
1/39/41,41
1/39/42,42
1/39/43,43
1/39/44,44
1/39/45,45
1/39/46,46
1/39/47,47
1/39/48,48
1/39/49,49
1/39/50,50
1/39/51,51
1/39/52,52
1/39/53,53
1/39/54,54
1/39/55,55
1/39/56,56
1/39/57,57
1/39/58,58
1/39/59,59
1/39/60,60
1/39/61,61
1/39/62,62
1/39/63,63
1/39/64,64
1/39/65,65
1/39/66,66
1/39/67,67
1/39/68,68
1/39/69,69
1/39/70,70
1/39/71,71
1/39/72,72
1/39/73,73
1/39/74,74
1/39/75,75
1/39/76,76
1/39/77,77
1/39/78,78
1/39/79,79
1/39/80,80
1/39/81,81
1/39/82,82
1/39/83,83
1/39/84,84
1/39/85,85
1/39/86,86
1/39/87,87
1/39/88,88
1/39/89,89
1/39/90,90
1/39/91,91
1/39/92,92
1/39/93,93
1/39/94,94
1/39/95,95
1/39/96,96
1/39/97,97
1/39/98,98
1/39/99,99
1/39/100,100
1/39/101,101
1/39/102,102
1/39/103,103
1/39/104,104
1/39/105,105
1/39/106,106
1/39/107,107
1/39/108,108
1/39/109,109
1/39/110,110
1/39/111,111
1/39/112,112
1/39/113,113
1/39/114,114
1/39/115,115
1/39/116,116
1/39/117,117
1/39/118,118
1/39/119,119
1/39/120,120
1/39/121,121
1/39/122,122
1/39/123,123
1/39/124,124
1/39/125,125
1/39/126,126
1/39/127,127
1/40/0,0
1/40/1,1
1/40/2,2
1/40/3,3
1/40/4,4
1/40/5,5
1/40/6,6
1/40/7,7
1/40/8,8
1/40/9,9
1/40/10,10
1/40/11,11
1/40/12,12
1/40/13,13
1/40/14,14
1/40/15,15
1/40/16,16
1/40/17,17
1/40/18,18
1/40/19,19
1/40/20,20
1/40/21,21
1/40/22,22
1/40/23,23
1/40/24,24
1/40/25,25
1/40/26,26
1/40/27,27
1/40/28,28
1/40/29,29
1/40/30,30
1/40/31,31
1/40/32,32
1/40/33,33
1/40/34,34
1/40/35,35
1/40/36,36
1/40/37,37
1/40/38,38
1/40/39,39
1/40/40,40
1/40/41,41
1/40/42,42
1/40/43,43
1/40/44,44
1/40/45,45
1/40/46,46
1/40/47,47
1/40/48,48
1/40/49,49
1/40/50,50
1/40/51,51
1/40/52,52
1/40/53,53
1/40/54,54
1/40/55,55
1/40/56,56
1/40/57,57
1/40/58,58
1/40/59,59
1/40/60,60
1/40/61,61
1/40/62,62
1/40/63,63
1/40/64,64
1/40/65,65
1/40/66,66
1/40/67,67
1/40/68,68
1/40/69,69
1/40/70,70
1/40/71,71
1/40/72,72
1/40/73,73
1/40/74,74
1/40/75,75
1/40/76,76
1/40/77,77
1/40/78,78
1/40/79,79
1/40/80,80
1/40/81,81
1/40/82,82
1/40/83,83
1/40/84,84
1/40/85,85
1/40/86,86
1/40/87,87
1/40/88,88
1/40/89,89
1/40/90,90
1/40/91,91
1/40/92,92
1/40/93,93
1/40/94,94
1/40/95,95
1/40/96,96
1/40/98,98
1/40/99,99
1/40/100,100
1/40/101,101
1/40/102,102
1/40/103,103
1/40/104,104
1/40/105,105
1/40/106,106
1/40/107,107
1/40/108,108
1/40/109,109
1/40/110,110
1/40/111,111
1/40/112,112
1/40/113,113
1/40/114,114
1/40/115,115
1/40/116,116
1/40/117,117
1/40/118,118
1/40/119,119
1/40/120,120
1/40/121,121
1/40/122,122
1/40/123,123
1/40/124,124
1/40/125,125
1/40/126,126
1/40/127,127
1/41/0,0
1/41/1,1
1/41/2,2
1/41/3,3
1/41/4,4
1/41/5,5
1/41/6,6
1/41/7,7
1/41/8,8
1/41/9,9
1/41/10,10
1/41/11,11
1/41/12,12
1/41/13,13
1/41/14,14
1/41/15,15
1/41/16,16
1/41/17,17
1/41/18,18
1/41/19,19
1/41/20,20
1/41/21,21
1/41/22,22
1/41/27,27
1/41/28,28
1/41/29,29
1/41/30,30
1/41/31,31
1/41/32,32
1/41/33,33
1/41/34,34
1/41/35,35
1/41/36,36
1/41/37,37
1/41/38,38
1/41/39,39
1/41/40,40
1/41/41,41
1/41/42,42
1/41/43,43
1/41/44,44
1/41/45,45
1/41/46,46
1/41/47,47
1/41/48,48
1/41/49,49
1/41/50,50
1/41/51,51
1/41/52,52
1/41/53,53
1/41/54,54
1/41/55,55
1/41/56,56
1/41/57,57
1/41/58,58
1/41/59,59
1/41/60,60
1/41/61,61
1/41/62,62
1/41/63,63
1/41/64,64
1/41/65,65
1/41/66,66
1/41/67,67
1/41/68,68
1/41/69,69
1/41/70,70
1/41/71,71
1/41/72,72
1/41/73,73
1/41/74,74
1/41/75,75
1/41/76,76
1/41/77,77
1/41/78,78
1/41/79,79
1/41/80,80
1/41/81,81
1/41/82,82
1/41/83,83
1/98/109,109
1/98/110,110
1/98/111,111
1/98/112,112
1/98/113,113
1/98/114,114
1/98/115,115
1/98/116,116
0/0,----Elvaan M Offhand----
1/111/90,90
1/111/91,91
1/111/92,92
1/111/93,93
1/111/94,94
1/111/95,95
1/111/96,96
1/111/97,97
1/111/98,98
1/111/99,99
1/111/100,100
1/111/101,101
1/111/102,102
1/111/103,103
1/111/104,104
1/111/105,105
1/111/106,106
1/111/107,107
1/111/108,108
1/111/109,109
1/111/110,110
1/111/111,111
1/111/112,112
1/111/113,113
1/111/114,114
1/111/115,115
1/111/116,116
1/111/117,117
1/111/118,118
1/111/119,119
1/111/120,120
1/111/121,121
1/111/122,122
1/111/123,123
1/111/124,124
1/111/125,125
1/111/126,126
1/111/127,127
1/112/0,0
1/112/1,1
1/112/2,2
1/112/3,3
1/112/4,4
1/112/5,5
1/112/6,6
1/112/7,7
1/112/8,8
1/112/9,9
1/112/10,10
1/112/11,11
1/112/12,12
1/112/13,13
1/112/14,14
1/112/15,15
1/112/16,16
1/112/17,17
1/112/18,18
1/112/19,19
1/112/20,20
1/112/21,21
1/112/22,22
1/112/23,23
1/112/24,24
1/112/25,25
1/112/26,26
1/112/27,27
1/112/28,28
1/112/29,29
1/112/30,30
1/112/31,31
1/112/32,32
1/112/33,33
1/112/34,34
1/112/35,35
1/112/36,36
1/112/37,37
1/112/38,38
1/112/39,39
1/112/40,40
1/112/41,41
1/112/42,42
1/112/43,43
1/112/44,44
1/112/45,45
1/112/46,46
1/112/47,47
1/112/48,48
1/112/49,49
1/112/50,50
1/112/51,51
1/112/52,52
1/112/53,53
1/112/54,54
1/112/55,55
1/112/56,56
1/112/57,57
1/112/58,58
1/112/59,59
1/112/60,60
1/112/61,61
1/112/62,62
1/112/63,63
1/112/64,64
1/112/65,65
1/112/66,66
1/112/67,67
1/112/68,68
1/112/69,69
1/112/70,70
1/112/71,71
1/112/72,72
1/112/73,73
1/112/74,74
1/112/75,75
1/112/76,76
1/112/77,77
1/112/78,78
1/112/79,79
1/112/80,80
1/112/81,81
1/112/82,82
1/112/83,83
1/112/84,84
1/112/85,85
1/112/86,86
1/112/87,87
1/112/88,88
1/112/89,89
1/112/90,90
1/112/91,91
1/112/92,92
1/112/93,93
1/112/94,94
1/112/95,95
1/112/96,96
1/112/97,97
1/112/98,98
1/112/99,99
1/112/100,100
1/112/101,101
1/112/102,102
1/112/103,103
1/112/104,104
1/112/105,105
1/112/106,106
1/112/107,107
1/112/108,108
1/112/109,109
1/112/110,110
1/112/111,111
1/112/112,112
