0/0,----Galka Head----
1/117/84,84
1/117/85,85
1/117/86,86
1/117/87,87
1/117/88,88
1/117/89,89
1/117/90,90
1/117/91,91
1/117/92,92
1/117/93,93
1/117/94,94
1/117/95,95
1/117/96,96
1/117/97,97
1/117/98,98
1/117/99,99
1/117/100,100
1/117/101,101
1/117/102,102
1/117/103,103
1/117/104,104
1/117/105,105
1/117/106,106
1/117/107,107
1/117/108,108
1/117/109,109
1/117/110,110
1/117/111,111
1/117/112,112
1/117/113,113
1/117/114,114
1/117/115,115
1/117/116,116
1/117/117,117
1/117/118,118
1/117/119,119
1/117/120,120
1/117/121,121
1/117/122,122
1/117/123,123
1/117/124,124
1/117/125,125
1/117/126,126
1/117/127,127
1/118/0,0
1/118/1,1
1/118/2,2
1/118/3,3
1/118/4,4
1/118/5,5
1/118/6,6
1/118/7,7
1/118/8,8
1/118/9,9
1/118/10,10
1/118/11,11
1/118/12,12
1/118/13,13
1/118/14,14
1/118/15,15
1/118/16,16
1/118/17,17
1/118/18,18
1/118/19,19
1/118/20,20
