0/0,----Mithra Head----
1/54/9,9
1/54/10,10
1/54/11,11
1/54/12,12
1/54/13,13
1/54/14,14
1/54/15,15
1/54/16,16
1/54/17,17
1/54/18,18
1/54/19,19
1/54/20,20
1/54/21,21
1/54/22,22
1/54/23,23
1/54/24,24
1/54/25,25
1/54/26,26
1/54/27,27
1/54/28,28
1/54/29,29
1/54/30,30
1/54/31,31
1/54/32,32
1/54/33,33
1/54/34,34
1/54/35,35
1/54/36,36
1/54/37,37
1/54/38,38
1/54/39,39
1/54/40,40
1/54/41,41
1/54/42,42
1/54/43,43
1/54/44,44
1/54/45,45
1/54/46,46
1/54/47,47
1/54/48,48
1/54/49,49
1/54/50,50
1/54/51,51
1/54/52,52
1/54/53,53
1/54/54,54
1/54/55,55
1/54/56,56
1/54/57,57
1/54/58,58
1/54/59,59
1/54/60,60
1/54/61,61
1/54/62,62
1/54/63,63
1/54/64,64
1/54/65,65
1/54/66,66
1/54/67,67
1/54/68,68
1/54/69,69
1/54/70,70
1/54/71,71
1/54/72,72
1/54/73,73
1/54/74,74
1/54/75,75
1/54/76,76
1/54/77,77
1/54/78,78
1/54/79,79
1/54/80,80
1/54/81,81
1/54/82,82
1/54/83,83
1/54/84,84
1/54/85,85
1/54/86,86
1/54/87,87
1/54/88,88
1/54/89,89
1/54/90,90
1/54/91,91
1/54/92,92
1/54/93,93
1/54/94,94
1/54/95,95
1/54/96,96
1/54/97,97
1/54/98,98
1/54/99,99
1/54/100,100
1/54/101,101
1/54/102,102
1/54/103,103
1/54/104,104
1/54/105,105
1/54/106,106
1/54/107,107
1/54/108,108
1/54/109,109
1/54/110,110
1/54/111,111
1/54/112,112
1/54/113,113
1/54/114,114
1/54/115,115
1/54/116,116
1/54/117,117
1/54/118,118
1/54/119,119
1/54/120,120
1/54/121,121
1/54/122,122
1/54/123,123
1/54/124,124
1/54/125,125
1/54/126,126
1/54/127,127
1/55/0,0
1/55/1,1
1/55/2,2
1/55/3,3
1/55/4,4
1/55/5,5
1/55/6,6
1/55/7,7
1/55/8,8
1/55/9,9
1/55/10,10
1/55/11,11
1/55/12,12
1/55/13,13
1/55/14,14
1/55/15,15
1/55/16,16
1/55/17,17
1/55/18,18
1/55/19,19
1/55/20,20
1/55/21,21
1/55/22,22
1/55/23,23
1/55/24,24
1/55/25,25
1/55/26,26
1/55/28,28
1/55/29,29
1/55/30,30
1/55/31,31
1/55/32,32
1/55/33,33
1/55/34,34
1/55/35,35
1/55/36,36
1/55/37,37
1/55/38,38
1/55/39,39
1/55/40,40
1/55/41,41
1/55/42,42
1/55/43,43
1/55/44,44
1/55/45,45
1/55/46,46
1/55/47,47
1/55/48,48
1/55/49,49
1/55/50,50
1/55/51,51
1/55/52,52
1/55/53,53
1/55/54,54
1/55/55,55
1/55/56,56
1/55/57,57
1/55/58,58
1/55/59,59
1/55/60,60
1/55/61,61
1/55/62,62
1/55/63,63
1/55/64,64
1/55/65,65
1/55/66,66
1/55/67,67
1/55/68,68
1/55/69,69
1/55/70,70
1/55/71,71
1/55/72,72
1/55/73,73
1/55/74,74
1/55/75,75
1/55/76,76
1/55/77,77
1/55/78,78
1/55/79,79
1/55/80,80
1/55/84,84
1/55/85,85
1/55/86,86
1/55/87,87
1/55/88,88
1/55/89,89
1/55/90,90
1/55/91,91
1/55/92,92
1/55/93,93
1/55/94,94
1/55/95,95
1/55/96,96
1/55/97,97
1/55/98,98
1/55/99,99
1/55/100,100
1/55/101,101
1/55/102,102
1/55/103,103
1/55/104,104
1/55/105,105
1/55/106,106
1/55/107,107
1/55/108,108
1/55/109,109
1/55/110,110
1/55/111,111
1/55/112,112
1/55/113,113
1/55/114,114
1/55/115,115
1/55/116,116
1/55/117,117
1/55/118,118
1/55/119,119
1/55/120,120
1/55/121,121
1/55/122,122
1/55/123,123
1/55/124,124
1/55/125,125
1/55/126,126
1/55/127,127
1/56/0,0
1/56/1,1
1/56/2,2
1/56/3,3
1/56/4,4
1/56/5,5
1/56/6,6
1/56/7,7
1/56/8,8
1/56/9,9
1/56/10,10
1/56/11,11
1/56/12,12
1/56/13,13
1/99/78,78
1/99/79,79
1/99/80,80
1/99/81,81
1/99/82,82
1/99/83,83
1/99/84,84
1/99/85,85
0/0,----Mithra Offhand----
1/115/85,85
1/115/86,86
1/115/87,87
1/115/88,88
1/115/89,89
1/115/90,90
1/115/91,91
1/115/92,92
1/115/93,93
1/115/94,94
1/115/95,95
1/115/96,96
1/115/97,97
1/115/98,98
1/115/99,99
1/115/100,100
1/115/101,101
1/115/102,102
1/115/103,103
1/115/104,104
1/115/105,105
1/115/106,106
1/115/107,107
1/115/108,108
1/115/109,109
1/115/110,110
1/115/111,111
1/115/112,112
1/115/113,113
1/115/114,114
1/115/115,115
1/115/116,116
1/115/117,117
1/115/118,118
1/115/119,119
1/115/120,120
1/115/121,121
1/115/122,122
1/115/123,123
1/115/124,124
1/115/125,125
1/115/126,126
1/115/127,127
1/116/0,0
1/116/1,1
1/116/2,2
1/116/3,3
1/116/4,4
1/116/5,5
1/116/6,6
1/116/7,7
1/116/8,8
1/116/9,9
1/116/10,10
1/116/11,11
1/116/12,12
1/116/13,13
1/116/14,14
1/116/15,15
1/116/16,16
1/116/17,17
1/116/18,18
1/116/19,19
1/116/20,20
1/116/21,21
1/116/22,22
1/116/23,23
1/116/24,24
1/116/25,25
1/116/26,26
1/116/27,27
1/116/28,28
1/116/29,29
1/116/30,30
1/116/31,31
1/116/32,32
1/116/33,33
1/116/34,34
1/116/35,35
1/116/36,36
1/116/37,37
1/116/38,38
1/116/39,39
1/116/40,40
1/116/41,41
1/116/42,42
1/116/43,43
1/116/44,44
1/116/45,45
1/116/46,46
1/116/47,47
1/116/48,48
1/116/49,49
1/116/50,50
1/116/51,51
1/116/52,52
1/116/53,53
1/116/54,54
1/116/55,55
1/116/56,56
1/116/57,57
1/116/58,58
1/116/59,59
1/116/60,60
1/116/61,61
1/116/62,62
1/116/63,63
1/116/64,64
1/116/65,65
1/116/66,66
1/116/67,67
1/116/68,68
1/116/69,69
1/116/70,70
1/116/71,71
1/116/72,72
1/116/73,73
1/116/74,74
1/116/75,75
1/116/76,76
1/116/77,77
1/116/78,78
1/116/79,79
1/116/80,80
1/116/81,81
1/116/82,82
1/116/83,83
1/116/84,84
1/116/85,85
1/116/86,86
1/116/87,87
1/116/88,88
1/116/89,89
1/116/90,90
1/116/91,91
1/116/92,92
1/116/93,93
1/116/94,94
1/116/95,95
1/116/96,96
1/116/97,97
1/116/98,98
1/116/99,99
1/116/100,100
1/116/101,101
1/116/102,102
1/116/103,103
1/116/104,104
1/116/105,105
1/116/106,106
1/116/107,107
