0/0,----Elvaan F Head----
1/113/53,53
1/113/54,54
1/113/55,55
1/113/56,56
1/113/57,57
1/113/58,58
1/113/59,59
1/113/60,60
1/113/61,61
1/113/62,62
1/113/63,63
1/113/64,64
1/113/65,65
1/113/66,66
1/113/67,67
1/113/68,68
1/113/69,69
1/113/70,70
1/113/71,71
1/113/72,72
1/113/73,73
1/113/74,74
1/113/75,75
1/113/76,76
1/113/77,77
1/113/78,78
1/113/79,79
1/113/80,80
1/113/81,81
1/113/82,82
1/113/83,83
1/113/84,84
1/113/85,85
1/113/86,86
1/113/87,87
1/113/88,88
1/113/89,89
1/113/90,90
1/113/91,91
1/113/92,92
1/113/93,93
1/113/94,94
1/113/95,95
1/113/96,96
1/113/97,97
1/113/98,98
1/113/99,99
1/113/100,100
1/113/101,101
1/113/102,102
1/113/103,103
1/113/104,104
1/113/105,105
1/113/106,106
1/113/107,107
1/113/108,108
1/113/109,109
1/113/110,110
1/113/111,111
1/113/112,112
1/113/113,113
1/113/114,114
1/113/115,115
1/113/116,116
1/113/117,117
1/113/118,118
1/113/119,119
1/113/120,120
1/113/121,121
1/113/122,122
1/113/123,123
1/113/124,124
1/113/125,125
1/113/126,126
1/113/127,127
1/114/0,0
1/114/1,1
1/114/2,2
1/114/3,3
1/114/4,4
1/114/5,5
1/114/6,6
1/114/7,7
1/114/8,8
1/114/9,9
1/114/10,10
1/114/11,11
1/114/12,12
1/114/13,13
1/114/14,14
1/114/15,15
1/114/16,16
1/114/17,17
1/114/18,18
1/114/19,19
